Resolution,Resolution Cost,RMFG,COG,Total
Full Reship,65.0,0.0,0.0,0.0
Partial Reship,30.0,0.0,0.0,0.0
Credit Next Box::Amount $6,6.0,0.0,0.0,0.0
Credit Next Box::Amount $10,10.0,0.0,0.0,0.0
Credit Next Box::Amount $15,15.0,65.0,70.0,135.0
Credit Next Box::Amount $20,20.0,1239.0,915.0,2219.0
Credit Next Box::Amount $30,30.0,1120.0,102.5,1287.5
Credit Next Box::Amount $40+,45.0,782.5,335.0,1182.5
Refund Order::Amount $6,6.0,704.5,620.0,1389.5
Refund Order::Amount $10,10.0,717.0,139.0,921.0
Refund Order::Amount $15,15.0,851.0,557.0,1408.0
Refund Order::Amount $20,20.0,792.0,206.0,998.0
Refund Order::Amount $30,30.0,1309.5,65.0,1374.5
Refund Order::Amount $40+,45.0,425.0,65.0,490.0
Refund Order::Specific Cheese(s),10.0,746.5,104.0,980.5
Refund Order::Specific Meat(s),10.0,405.5,35.0,440.5
Refund Order::Specific Accompaniment(s),6.0,420.5,0.0,420.5
Refund Order::Specific Items (Multiple types),20.0,762.5,0.0,762.5
Comp Item::Extra Cheese(s),5.5,520.0,195.0,715.0
Comp Item::Extra Meat(s),4.0,266.0,0.0,266.0
Comp Item::Extra Accompaniment(s),2.5,454.5,0.0,454.5
Comp Item + Credit/Refund::$10 off + extra cheese,15.5,563.0,0.0,573.0
Comp Item + Credit/Refund::$15 off + extra cheese,20.5,582.5,4.0,586.5
Comp Item + Credit/Refund::$20 off + extra cheese,25.5,873.5,25.5,899.0
Comp Item + Credit/Refund::$10 off + extra meat,14.0,537.0,140.0,742.0
Comp Item + Credit/Refund::$15 off + extra meat,19.0,275.0,130.0,470.0
Comp Item + Credit/Refund::$20 off + extra meat,24.0,1986.5,11.0,1997.5
Comp Item + Credit/Refund::$10 off + extra accompaniment,12.5,747.0,0.0,747.0
Comp Item + Credit/Refund::$15 off + extra accompaniment,17.5,3259.0,0.0,3259.0
Comp Item + Credit/Refund::$20 off + extra accompaniment,22.5,1002.5,0.0,1002.5
12/15 - 12/21,0.0,1176.0,0.0,1176.0
12/22 - 12/28,0.0,1849.5,0.0,1849.5
12/29 - 1/4,0.0,1510.0,0.0,1510.0
1/5 - 1/11,0.0,600.0,0.0,600.0
1/12 - 1/18,0.0,190.5,0.0,190.5
1/19 - 1/25,0.0,65.0,0.0,65.0
1/26 - 2/1,0.0,1808.0,227.5,2035.5
2/2 - 2/8,0.0,2198.5,197.5,2396.0
2/9 - 2/15,0.0,2385.5,2.5,2388.0
2/16 - 2/22,0.0,846.5,0.0,846.5
2/23 - 3/1,0.0,2813.5,0.0,2813.5
3/2 - 3/8,0.0,2105.0,0.0,2105.0
3/9 - 3/15,5.5,2831.0,0.0,2836.5
3/16 - 3/22,0.0,176.5,0.0,176.5
Week,Cost per Order
5/19 - 5/25,0.0
5/26 - 6/1,0.0
6/2 - 6/8,0.0
6/9 - 6/15,0.0
6/16 - 6/22,4.22
6/23 - 6/29,47.21
6/30 - 7/6,58.52
7/7 - 7/13,56.31
7/14 - 7/20,49.62
7/21 - 7/27,43.86
7/28 - 8/3,50.29
8/4 - 8/10,41.58
8/11 - 8/17,57.27
8/18 - 8/24,61.25
8/25 - 8/31,51.61
9/1 - 9/7,55.06
9/8 - 9/14,52.56
9/15 - 9/21,58.65
9/22 - 9/28,65.0
9/29 - 10/5,53.2
10/6 - 10/12,32.46
10/13 - 10/19,33.71
10/20 - 10/26,24.44
10/27 - 11/2,28.09
11/3 - 11/9,39.05
11/10 - 11/16,27.65
11/17 - 11/23,39.17
11/24 - 11/30,33.95
12/1 - 12/7,55.24
12/8 - 12/14,52.76
12/15 - 12/21,53.45
12/22 - 12/28,56.05
12/29 - 1/4,53.93
1/5 - 1/11,46.15
1/12 - 1/18,38.1
1/19 - 1/25,65.0
1/26 - 2/1,56.54
2/2 - 2/8,43.56
2/9 - 2/15,40.47
2/16 - 2/22,38.48
2/23 - 3/1,59.86
3/2 - 3/8,63.79
3/9 - 3/15,36.84
3/16 - 3/22,9.81
Summary
Total Issues,1137.0
Total Resolution Cost,46709.5
Avg Cost per Issue,41.08
Weeks Tracked,44.0
Date Range,05/19/2025 - 03/16/2026
