Date,Contact Reason,Order #,Gorgias Link,Carrier,Destination State,Fulfillment Center Tag,Issue Type,Resolution,Comment,,,,,,,,,,,,,,,,,,,
2025-05-20T00:00:00,,#48658,https://appyhour.gorgias.com/app/views/238613/202720962,UPS,Los Angeles,RMFG,Sub_acc,Subscription::Free item added,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49261,https://appyhour.gorgias.com/app/views/238613/202936628,FedEx,Florida,RMFG,Arrived Warm,Order::Full Refund,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#48133,https://appyhour.gorgias.com/app/views/238613/202907784,UPS,New York,COG,Order::Missing item::Missing item(s) confirmed,Order::Partial Refund,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49328,https://appyhour.gorgias.com/app/views/238613/202862833,UPS,South Carolina,COG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#48454,https://appyhour.gorgias.com/app/views/238613/227464929,UPS,Kansas,RMFG,Arrived Warm,,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#48931,https://appyhour.gorgias.com/app/views/238613/202925889,UPS,Florida,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49450,https://appyhour.gorgias.com/app/views/238613/202980965,FedEx,Florida,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49135,https://appyhour.gorgias.com/app/views/238613/202981809,FedEx,North Carolina,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49459,https://appyhour.gorgias.com/app/views/238613/204881771,UPS,Colorado,RMFG,Arrived Warm,Order::Full Refund,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49003,https://appyhour.gorgias.com/app/views/238613/202985395,UPS,Florida,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#48788,,UPS,South Carolina,RMFG,,,,,,,,,,,,,,,,,,,,,,
2025-05-21T00:00:00,,#49461,https://appyhour.gorgias.com/app/views/238613/245395491,OnTrac,Washington,COG,Shipping::Delayed in transit::4+ Days in Transit,Full Reship,,,,,,,,,,,,,,,,,,,,
2025-05-22T00:00:00,,#49928,https://appyhour.gorgias.com/app/views/238613/241099596,FedEx,Wyoming,COG,,,,,,,,,,,,,,,,,,,,,,
2025-05-22T00:00:00,,#49924,https://appyhour.gorgias.com/app/views/238613/203135682,FedEx,Texas,COG,Order::Missing item::Confusion about contents,,,,,,,,,,,,,,,,,,,,,
2025-05-22T00:00:00,,#49598,https://appyhour.gorgias.com/app/views/238613/210181523,UPS,New York,COG,Shipping::Damaged in transit::Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-23T00:00:00,,#48316,https://appyhour.gorgias.com/app/views/238613/203370006,UPS,Arizona,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-24T00:00:00,,#49078,https://appyhour.gorgias.com/app/views/238613/203578272,UPS,Florida,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-27T00:00:00,,#49654,https://appyhour.gorgias.com/app/views/238613/204101694,UPS,Missouri,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-27T00:00:00,,#48416,https://appyhour.gorgias.com/app/views/238613/204041614,OnTrac,Arizona,COG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-27T00:00:00,,#47571,https://appyhour.gorgias.com/app/views/238613/237836421,OnTrac,California,COG,Order::Quality Complaint::Meat,Comp Item::Extra Meat(s),,,,,,,,,,,,,,,,,,,,
2025-05-28T00:00:00,,#50714,https://appyhour.gorgias.com/app/views/238613/256110386,FedEx,Illinois,RMFG,Shipping::Damaged in transit::Arrived Warm,Full Reship,,,,,,,,,,,,,,,,,,,,
2025-05-29T00:00:00,,#50698,https://appyhour.gorgias.com/app/views/238613/204649952,FedEx,Idaho,RMFG,Arrived Warm,Order::Reship,,,,,,,,,,,,,,,,,,,,
2025-05-29T00:00:00,,#50501,https://appyhour.gorgias.com/app/views/238613/246730643,UPS,Montana,RMFG,Arrived Warm,,,,,,,,,,,,,,,,,,,,,
2025-05-29T00:00:00,,#49753,https://appyhour.gorgias.com/app/views/238613/204601840,FedEx,Minnesota,RMFG,Shipping::Damaged in transit::Other,Order::Reship,,,,,,,,,,,,,,,,,,,,
